129,2,5,14,5
130,6,5,1,5
131,2,1,4,5
132,14,5,7,5
133,14,5,12,5
134,9,5,1,1
135,9,5,2,1
136,12,5,14,5
137,13,5,0,1
138,13,5,1,1
139,17,5,3,5
140,17,5,8,5
141,16,5,-4,5
142,16,5,1,5
143,16,5,9,5
144,16,5,4,5
145,19,5,0,1
146,19,5,1,1
147,13,5,13,5
148,13,5,8,5
149,9,5,11,5
150,9,5,16,5
151,1,1,13,5
152,1,1,8,5
153,13,5,3,5
154,9,5,6,5
155,13,5,14,5
156,17,5,11,5
157,4,1,7,5
158,4,1,12,5
159,17,5,16,5
160,13,5,19,5
161,17,5,6,5
162,13,5,9,5
163,2,1,1,1
164,14,5,2,5
165,6,5,2,5
166,2,1,-1,5
167,18,5,9,5
168,3,1,1,1
169,3,1,2,1
170,11,5,8,5
171,18,5,14,5
172,9,5,12,5
173,13,5,1,5
174,16,5,1,1
175,17,5,-2,5
176,4,1,2,5
177,13,5,4,5
178,17,5,1,5
179,18,5,4,5
180,13,5,-2,5
181,9,5,1,5
182,14,5,1,5
183,18,5,-2,5
184,22,5,1,5
185,22,5,6,5
186,19,5,2,1
187,16,5,14,5
188,16,5,6,5
189,13,5,2,1
190,19,5,2,5
191,17,5,7,5
192,17,5,12,5
193,14,5,8,5
194,17,5,4,5
195,17,5,9,5
196,14,5,13,5
197,17,5,17,5
198,17,5,14,5
199,22,5,11,5
200,19,5,7,5
201,16,5,11,5
202,4,1,8,5
203,4,1,13,5
204,13,5,7,5
205,9,5,4,5
206,14,5,4,5
207,6,5,8,5
208,18,5,7,5
209,18,5,1,5
210,18,5,6,5
211,14,5,3,5
212,2,1,0,1
213,14,5,-3,5
214,18,5,11,5
215,3,1,3,1
216,18,5,19,5
217,22,5,16,5
218,19,5,12,5
219,16,5,16,5
220,12,5,19,5
221,22,5,4,5
222,22,5,9,5
223,22,5,14,5
224,9,5,9,5
225,13,5,12,5
226,16,5,8,5
227,8,5,12,5
228,9,5,3,1
229,12,5,1,1
230,8,5,8,5
231,1,1,4,5
232,1,1,9,5
233,4,1,1,1
234,23,5,9,5
235,4,1,2,1
236,18,5,12,5
237,14,5,9,5
238,14,5,3,1
239,2,1,12,5
240,6,5,3,1
241,2,1,18,5
242,3,1,18,5
243,19,5,3,1
244,1,1,18,5
245,1,1,12,5
246,2,5,8,5
247,1,1,7,5
248,2,5,3,5
249,8,5,3,5
