nodes, edges, density
304000, 2254777, 1.1587178692418438
305000, 2264100, 1.158743283712943
306000, 2274523, 1.1588066251580733
307000, 2283854, 1.1588314167040543
308000, 2294073, 1.1588864824379002
309000, 2303525, 1.1589145808347332
310000, 2315051, 1.159013177005871
311000, 2325734, 1.1590820627471972
312000, 2335525, 1.1591200086307452
313000, 2347210, 1.1592212809997404
314000, 2356807, 1.1592515144596947
315000, 2366518, 1.1592851567315787
316000, 2375704, 1.1593009262404936
317000, 2387171, 1.1593918963393173
318000, 2397191, 1.1594342822541321
319000, 2408250, 1.1595102242175694
320000, 2419243, 1.1595832117648044
321000, 2431005, 1.1596803806598883
322000, 2442500, 1.1597679244326413
323000, 2453987, 1.1598543041067289
324000, 2465143, 1.1599292094355498
325000, 2477101, 1.1600288496496367
326000, 2487216, 1.1600691223825845
327000, 2498664, 1.1601509582683065
328000, 2509117, 1.1602007395822562
329000, 2521445, 1.1603085367622687
330000, 2531735, 1.1603519199766386
331000, 2542574, 1.1604118115394675
332000, 2556854, 1.1605770101665167
333000, 2568671, 1.1606651351444413
334000, 2580643, 1.1607570999066672
335000, 2592391, 1.1608413558701929
336000, 2605235, 1.1609578388201673
337000, 2616962, 1.161039637518796
338000, 2630178, 1.1611651049992244
339000, 2641844, 1.1612432677935944
340000, 2654613, 1.161353286020824
341000, 2667330, 1.161460695596744
342000, 2680334, 1.1615754592089418
343000, 2694818, 1.1617322043051068
344000, 2706680, 1.1618114358620035
345000, 2720741, 1.161953305220608
346000, 2732677, 1.162032834845163
347000, 2745791, 1.162145230979421
348000, 2759923, 1.162285457299085
349000, 2773652, 1.162412934651152
350000, 2786461, 1.162513323679214
351000, 2799441, 1.162617540109096
352000, 2813217, 1.162742923734214
353000, 2827157, 1.162871650229600
354000, 2840942, 1.162994877210439
355000, 2855771, 1.163145544367141
356000, 2869833, 1.163273852338207
357000, 2883314, 1.163385185154470
358000, 2897199, 1.163506378443133
359000, 2910594, 1.163613272389117
360000, 2924220, 1.163725344726843
361000, 2937899, 1.163837783095098
362000, 2949846, 1.163903317047197
363000, 2959450, 1.163906418465978
364000, 2969001, 1.163907991841933
365000, 2978896, 1.163918459354485
366000, 2988955, 1.163933026320276
367000, 2998766, 1.163940927161991
368000, 3009455, 1.163971431634091
369000, 3019804, 1.163992826661212
370000, 3030338, 1.164018725082657
371000, 3041291, 1.164055077279090
372000, 3052134, 1.164088252585488
373000, 3062835, 1.164117472227523
374000, 3074237, 1.164164152400885
375000, 3085444, 1.164205465811157
376000, 3096754, 1.164248970218930
377000, 3108545, 1.164304111055747
378000, 3120695, 1.164367704729645
379000, 3132454, 1.164421009787400
380000, 3144353, 1.164477292632813
381000, 3157663, 1.164567846120859
382000, 3171094, 1.164660573203670
383000, 3183394, 1.164724856960403
384000, 3195804, 1.164791247985587
385000, 3208323, 1.164859695516024
386000, 3220810, 1.164926770321096
387000, 3233043, 1.164987151552762
388000, 3245651, 1.165055979256933
389000, 3258611, 1.165132601136437
390000, 3271487, 1.165206567400827
391000, 3284923, 1.165293136585564
392000, 3298750, 1.165388168086391
393000, 3312561, 1.165482011806184
394000, 3326511, 1.165578298213500
395000, 3340176, 1.165667143751586
396000, 3354161, 1.165762637692072
397000, 3367979, 1.165853476217983
398000, 3381957, 1.165947216649292
399000, 3395608, 1.166032699985312
400000, 3409879, 1.166131562029407
401000, 3424472, 1.166236881474574
402000, 3439207, 1.166344514681886
403000, 3454767, 1.166469747629107
404000, 3469625, 1.166578245838598
405000, 3485070, 1.166698881852283
406000, 3500382, 1.166815559511710
407000, 3515370, 1.166924124031755
408000, 3531477, 1.167056316327142
409000, 3547768, 1.167191404968998
410000, 3562663, 1.167295037665743
411000, 3576576, 1.167376578446979
412000, 3590506, 1.167457818833060
413000, 3603612, 1.167520715842618
414000, 3615579, 1.167558742563846
415000, 3627532, 1.167596136469825
416000, 3639661, 1.167636938747425
417000, 3651949, 1.167680753584447
418000, 3664562, 1.167731048591309
419000, 3676572, 1.167768257942558
420000, 3689699, 1.167828527491793
